run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,7753.057,completed,27564.925,17701.638,79106.24,7211.712,79106.24,7998.5,47991,632.333,3794,30.536,23.067,27412.333,0,3
1,2,21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,7180.992,completed,31553.121,22780.228,53674.011,13561.52,53674.011,17462.5,104775,536.0,3216,19.17,17.05,31437.333,0,3
1,3,31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,9443.08,completed,28137.517,28217.177,35879.287,11888.314,35879.287,17426.5,104559,517.833,3107,20.15,18.454,28061.5,0,3
1,4,41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,9971.421,completed,28806.357,27184.89,43947.762,20382.737,43947.762,17421.0,104526,560.833,3365,19.415,19.521,28729.833,0,2
1,5,51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,72231.771,completed,36507.38,18792.001,91808.973,10819.443,91808.973,17523.667,105142,638.5,3831,24.997,17.521,36441.0,0,2
1,6,62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,10665.528,completed,48847.076,39020.397,78512.705,24566.127,78512.705,17404.5,104427,575.333,3452,13.569,11.824,48658.833,0,2
1,7,72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,8501.41,completed,45528.593,25332.136,155116.522,13004.881,155116.522,17513.667,105082,583.833,3503,21.948,12.852,45426.667,0,4
1,8,83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,6135.271,completed,49994.198,30036.627,98962.428,13411.611,98962.428,17515.0,105090,679.333,4076,19.917,13.657,49743.0,0,2
1,9,93548,1,gpt-4o-mini,vs_69d5ee967c188191addf0d02a9f0733e,9425.951,completed,44619.454,25965.853,92866.574,12897.06,92866.574,14732.833,88397,622.167,3733,17.659,13.976,44517.833,0,4
1,10,104002,1,gpt-4o-mini,vs_69d5efacfd2c8191a75bf67fded5bc05,6005.498,completed,49372.088,47881.806,96296.137,17444.605,96296.137,17494.0,104964,647.0,3882,14.792,13.128,49284.833,0,2
1,11,114451,1,gpt-4o-mini,vs_69d5f0dd0e1881919a2c96795ca9827d,8344.724,completed,28430.085,20658.202,42517.492,18162.322,42517.492,14719.5,88317,576.167,3457,21.938,20.321,28352.833,0,3
1,12,124871,1,gpt-4o-mini,vs_69d5f19263f08191b9cfa7c85fc735a2,8168.718,completed,41825.547,31527.991,103939.721,15400.94,103939.721,14828.833,88973,628.0,3768,17.785,15.048,41732.167,0,3
1,13,135223,1,gpt-4o-mini,vs_69d5f297cb6481918b1dabf7b33493b5,7550.698,completed,34736.411,22318.712,87404.41,7226.176,87404.41,17450.167,104701,603.667,3622,27.053,17.412,34669.667,0,1
1,14,145724,1,gpt-4o-mini,vs_69d5f371338c819185ec0787fa654c4d,10797.605,completed,29449.051,18794.885,47285.79,11113.629,47285.79,17517.0,105102,659.167,3955,26.344,22.443,29371.167,0,2
1,15,155786,1,gpt-4o-mini,vs_69d5f42e1f30819195e29075f722d1d7,8446.937,completed,37364.192,26868.712,71394.531,14636.731,71394.531,17435.833,104615,600.667,3604,21.421,16.113,37278.667,0,3
1,16,166256,1,gpt-4o-mini,vs_69d5f51871dc81918f5970939b6ea8a7,8196.115,completed,33502.103,18180.146,83693.03,9988.286,83693.03,17538.333,105230,660.333,3962,25.28,19.743,33446.0,0,1
1,17,176648,1,gpt-4o-mini,vs_69d5f5eb96488191809900705035168a,9484.776,completed,42089.856,27363.011,95295.943,19625.147,95295.943,17506.833,105041,582.333,3494,15.521,13.861,42012.0,0,3
1,18,186905,1,gpt-4o-mini,vs_69d5f6f3377c819183b45c07aba40c16,8310.787,completed,53193.442,32613.117,128787.031,18323.824,128787.031,17512.167,105073,620.667,3724,16.126,11.703,53033.167,0,2
1,19,197313,1,gpt-4o-mini,vs_69d5f83c5f7881918b789d0c94ffe12d,66368.377,completed,51119.526,36454.939,123191.641,19469.097,123191.641,17429.667,104578,636.167,3817,15.561,12.465,51035.5,0,0
1,20,207534,1,gpt-4o-mini,vs_69d5f9b321008191b7cd42183893b436,8398.853,completed,29095.695,19662.198,61819.857,14428.589,61819.857,17402.833,104417,573.833,3443,22.453,19.773,29021.667,0,1
1,21,217827,1,gpt-4o-mini,vs_69d5fa6ba93c8191a1bee13931abf36a,9597.18,completed,32616.434,22660.126,61522.754,16963.086,61522.754,17412.333,104474,594.667,3568,20.2,18.275,32539.333,0,3
1,22,228128,1,gpt-4o-mini,vs_69d5fb3a91d88191bd09773b631d5ec6,8452.439,completed,40079.15,31163.467,109810.376,10660.327,109810.376,17469.0,104814,598.833,3593,21.196,14.967,40010.5,0,5
1,23,238377,1,gpt-4o-mini,vs_69d5fc3530688191bc71367ee7b78504,8776.893,completed,52501.268,27649.045,141960.695,21338.799,141960.695,17519.833,105119,633.333,3800,15.775,12.081,52422.0,0,2
1,24,248829,1,gpt-4o-mini,vs_69d5fd7a93648191844503af503fbf39,8329.506,completed,54666.016,27905.649,177520.781,25162.175,177520.781,17452.333,104714,569.833,3419,14.777,10.441,54578.833,0,2
1,25,259166,1,gpt-4o-mini,vs_69d5fecca2b08191bdd85e76f31193a4,8492.599,completed,48418.432,32453.597,96458.172,17481.362,96458.172,17545.0,105270,666.833,4001,15.933,13.856,48127.5,0,2
