run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d5e710e1f8819198180aaf3bdb2837,7310.551,completed,25253.087,13657.693,61070.092,9064.761,61070.092,7892.5,47355,564.0,3384,28.671,22.401,25177.167,0,5
1,2,21048,2,gpt-4o-mini,vs_69d5e7b1537c8191b38569f095246689,5990.185,completed,33396.638,24962.791,60084.276,18221.795,60084.276,17321.833,103931,598.0,3588,19.051,17.943,33328.0,0,0
1,3,31242,3,gpt-4o-mini,vs_69d5e8811f788191b2bed05c4cbbac6e,10499.036,completed,51358.175,28748.292,162380.852,15164.25,162380.852,17479.667,104878,621.667,3730,17.543,12.124,51277.333,0,2
1,4,41717,4,gpt-4o-mini,vs_69d5e9c15dfc8191b0085173593b4b2d,8463.776,completed,37391.2,26340.091,92184.301,14153.453,92184.301,17283.5,103701,578.833,3473,20.865,15.511,37317.333,0,3
1,5,51989,5,gpt-4o-mini,vs_69d5eaabb58c8191a6686822f4abbde1,9727.548,completed,32933.598,25229.841,59809.618,24517.533,59809.618,14643.167,87859,632.5,3795,19.971,19.241,32873.333,0,2
1,6,62334,6,gpt-4o-mini,vs_69d5eb7d939481919e76fd38e1c38e61,10309.915,completed,56446.659,27040.172,170125.418,19978.325,170125.418,17460.0,104760,606.0,3636,15.234,10.75,56374.167,0,3
1,7,72725,7,gpt-4o-mini,vs_69d5ecdc20908191b05af604b048b65d,59249.567,completed,46335.855,24432.258,158521.509,7642.443,158521.509,14777.833,88667,663.833,3983,24.129,14.346,46271.5,0,3
1,8,83099,8,gpt-4o-mini,vs_69d5ee2ee8208191bebb47ef3daeaa73,14552.324,completed,50193.401,35506.339,121183.653,25526.985,121183.653,17408.167,104449,584.333,3506,13.399,11.666,50087.0,0,2
1,9,93548,9,gpt-4o-mini,vs_69d5ef6c6de481918b3cdc5de2a5773c,9556.971,completed,50779.925,38825.984,87558.381,22428.197,87558.381,17427.0,104562,586.667,3520,12.906,11.567,50720.0,0,3
1,10,104002,10,gpt-4o-mini,vs_69d5f0a842f481918b3197eae351101a,12034.931,completed,33471.679,24560.043,58522.371,10635.511,58522.371,14440.333,86642,567.0,3402,19.522,16.976,33399.833,0,4
1,11,114451,11,gpt-4o-mini,vs_69d5f17eb9d8819197ca96c6b2314b5b,22973.171,completed,40210.457,33270.567,87150.882,11831.027,87150.882,17413.667,104482,623.0,3738,21.062,15.517,40149.0,0,3
1,12,124871,12,gpt-4o-mini,vs_69d5f28870e88191a28a831b6ea39bdc,377966.691,completed,30885.923,25741.139,56556.845,15174.507,56556.845,14446.0,86676,629.5,3777,22.44,20.423,30823.833,0,4
1,13,135223,13,gpt-4o-mini,vs_69d5f4bd568c8191a75024a353e2d312,10357.876,completed,48646.511,19172.637,147163.113,17138.862,147163.113,17401.0,104406,690.5,4143,19.476,14.212,48584.833,0,2
1,14,145724,14,gpt-4o-mini,vs_69d5f5ed53c48191b23077e57c4a05c5,12290.881,completed,36130.491,23284.101,91575.77,9522.11,91575.77,17303.0,103818,563.333,3380,20.771,15.621,36062.833,0,2
1,15,155786,15,gpt-4o-mini,vs_69d5f6d4a8b48191bfdc9fefd97282d1,19670.353,completed,49495.372,34040.864,105214.5,16210.576,105214.5,17487.333,104924,664.167,3985,15.717,13.436,49431.333,0,2
1,16,166256,16,gpt-4o-mini,vs_69d5f812d98881919987161f091e28c1,12420.161,completed,58853.652,39206.95,173142.478,21469.92,173142.478,17470.333,104822,635.167,3811,14.799,10.804,58789.333,0,2
1,17,176648,17,gpt-4o-mini,vs_69d5f9820d7081918330ed7712a3bc89,321325.515,completed,55914.689,27508.454,131784.74,23507.328,131784.74,17289.5,103737,660.5,3963,14.698,11.829,55836.667,0,2
1,18,186905,18,gpt-4o-mini,vs_69d5fc146de4819185282507dd297f57,20776.821,completed,60913.412,29383.722,167585.139,24033.085,167585.139,17446.667,104680,669.667,4018,14.751,11.006,60847.667,0,1
1,19,197313,19,gpt-4o-mini,vs_69d5fd9880ac8191a9ec2a20e6cda55a,21430.608,completed,49065.217,39305.072,87679.307,13828.962,87679.307,14694.0,88164,664.833,3989,15.769,13.619,48816.5,0,4
1,20,207534,20,gpt-4o-mini,vs_69d5fed6a77c819183bb521842a1c0f2,66832.765,completed,43177.73,16376.1,168351.699,7784.585,168351.699,14581.833,87491,644.833,3869,31.001,14.961,43099.667,0,2
1,21,217827,21,gpt-4o-mini,vs_69d6001e0b40819192933d147c0d5a3f,41044.071,completed,35565.256,20343.66,101947.307,15091.477,101947.307,17095.167,102571,616.167,3697,22.771,17.36,35493.833,0,3
1,22,228128,22,gpt-4o-mini,vs_69d6011e3c988191be6d1fa4030363e0,23975.7,completed,35880.823,27329.396,71377.516,16298.115,71377.516,17026.667,102160,610.333,3662,17.616,17.049,35798.333,0,1
1,23,238377,23,gpt-4o-mini,vs_69d6020f01bc8191a334d2370f65ccbe,13801.4,completed,36996.07,20971.036,96749.134,13014.58,96749.134,17251.667,103510,601.0,3606,22.48,16.269,36942.0,0,1
1,24,248829,24,gpt-4o-mini,vs_69d602fc6db88191aabac2fb33eb891f,49431.541,completed,48111.631,31838.365,99990.197,18844.292,99990.197,17261.167,103567,644.333,3866,14.649,13.42,48013.667,0,2
1,25,259166,25,gpt-4o-mini,vs_69d60450148881919e668f8270c2b3bf,69740.428,completed,42119.955,25122.109,118331.466,9814.618,118331.466,16769.667,100618,621.333,3728,21.27,14.774,42054.667,0,1
